"store_id","store_name","product_id","product_name","sales_qty","rank"
31,Maven Toys Ciudad de Mexico 2,25,PlayDoh Can,2595,2
7,Maven Toys Monterrey 2,25,PlayDoh Can,2580,3
30,Maven Toys Guadalajara 3,26,PlayDoh Playset,220,1
39,Maven Toys Xalapa 2,26,PlayDoh Playset,184,2
19,Maven Toys Puebla 1,26,PlayDoh Playset,156,3
30,Maven Toys Guadalajara 3,27,PlayDoh Toolkit,483,1
31,Maven Toys Ciudad de Mexico 2,27,PlayDoh Toolkit,379,2
9,Maven Toys Ciudad de Mexico 1,27,PlayDoh Toolkit,365,3
41,Maven Toys Hermosillo 2,28,Playfoam,237,1
27,Maven Toys Oaxaca 1,28,Playfoam,223,2
48,Maven Toys Saltillo 2,28,Playfoam,211,3
30,Maven Toys Guadalajara 3,29,Plush Pony,237,1
47,Maven Toys Monterrey 4,29,Plush Pony,153,2
31,Maven Toys Ciudad de Mexico 2,29,Plush Pony,140,3
45,Maven Toys Ciudad de Mexico 4,29,Plush Pony,140,3
30,Maven Toys Guadalajara 3,30,Rubik's Cube,1533,1
9,Maven Toys Ciudad de Mexico 1,30,Rubik's Cube,1131,2
7,Maven Toys Monterrey 2,30,Rubik's Cube,1033,3
47,Maven Toys Monterrey 4,31,Splash Balls,1832,1
17,Maven Toys Toluca 1,31,Splash Balls,1597,2
31,Maven Toys Ciudad de Mexico 2,31,Splash Balls,1356,3
31,Maven Toys Ciudad de Mexico 2,32,Supersoaker Water Gun,203,1
47,Maven Toys Monterrey 4,32,Supersoaker Water Gun,200,2
29,Maven Toys Xalapa 1,32,Supersoaker Water Gun,165,3
23,Maven Toys Chihuahua 1,33,Teddy Bear,231,1
41,Maven Toys Hermosillo 2,33,Teddy Bear,197,2
17,Maven Toys Toluca 1,33,Teddy Bear,194,3
30,Maven Toys Guadalajara 3,34,Toy Robot,301,1
39,Maven Toys Xalapa 2,34,Toy Robot,290,2
45,Maven Toys Ciudad de Mexico 4,34,Toy Robot,275,3
41,Maven Toys Hermosillo 2,35,Uno Card Game,202,1
37,Maven Toys Ciudad de Mexico 3,35,Uno Card Game,121,2
6,Maven Toys Mexicali 1,35,Uno Card Game,109,3
